"統計名：","住民基本台帳人口移動報告 年報（年齢別）2010年～2019年"
"表番号：","1-3"
"表題：","年齢（５歳階級），男女別転入超過数－全国，都道府県，３大都市圏（東京圏，名古屋圏，大阪圏），大都市（東京都特別区部及び政令指定都市）　（2010年～2019年）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","","","","","","","","","","","/年齢 コード","000","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","402"
"","","","","","","","","","","","","","","","/年齢 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","性別 コード","性別 補助コード","性別","国籍 コード","国籍 補助コード","国籍","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","地域 コード","地域 補助コード","地域","/年齢","総数","0～4歳","5～9歳","10～14歳","15～19歳","20～24歳","25～29歳","30～34歳","35～39歳","40～44歳","45～49歳","50～54歳","55～59歳","60～64歳","65～69歳","70～74歳","75～79歳","80～84歳","85～89歳","90歳以上"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","45000","","宮崎県","","-2,635","131","2","-73","-1,646","-1,352","-95","79","29","10","-42","47","121","138","89","41","-25","-30","-43","-16"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","46000","","鹿児島県","","-4,105","174","55","-75","-3,079","-1,847","-175","171","81","-5","6","131","76","368","220","93","-22","-86","-88","-103"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","47000","","沖縄県","","695","70","-59","-139","-1,523","-1,099","722","808","490","156","231","165","200","252","240","82","54","13","17","15"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","51000","","東京圏","","148,783","-994","1,173","2,115","24,485","79,964","28,084","9,580","3,593","2,306","2,641","527","-1,343","-3,076","-2,204","-810","51","827","1,162","703"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","52000","","名古屋圏","","-15,017","-963","-673","-477","-555","-2,269","-2,826","-2,434","-1,109","-942","-809","-547","-516","-486","-251","-103","-80","-19","-10","49"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","53000","","大阪圏","","-4,097","-528","46","63","4,678","-843","-3,422","-2,204","-1,132","-285","32","396","182","-156","-434","-307","-208","1","-38","62"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","00416","","21大都市計","","127,449","-13,630","-1,633","1,171","21,876","94,949","30,486","1,082","-1,936","255","1,365","-102","-1,834","-3,108","-2,327","-1,055","150","652","683","400"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","01100","","札幌市","","9,812","36","548","322","1,395","1,904","328","71","238","545","387","437","497","490","410","316","412","559","556","362"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","04100","","仙台市","","1,349","-209","-192","-84","1,323","1,072","-223","-232","-137","-131","-59","-114","-91","-30","5","69","114","123","85","60"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","11100","","さいたま市","","11,252","743","474","265","747","2,973","1,761","1,938","970","668","320","40","-51","-134","2","-10","60","193","183","110"
"04","","転入超過数【人】","0","","総数","60000","","移動者","2019000000","","2019年","12100","","千葉市","","3,739","349","72","53","442","969","66","579","330","103","95","97","48","-58","72","117","133","122","81","69"
